,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
16488,181220,1800,40.4142,5.0,19.6383
16489,181220,1900,47.3175,5.0,17.4167
16490,181220,2000,54.9233,5.0,15.01
16491,181220,2100,58.3542,5.0,13.9008
16492,181220,2200,60.1808,5.0,13.0917
16493,181220,2300,60.4867,5.0,12.6933
16494,181221,0,62.9933,6.0,11.975
16495,181221,100,63.255,6.0,11.69
16496,181221,200,63.4942,6.0,11.1775
16497,181221,300,63.7342,6.0,11.2008
16498,181221,400,64.9865,6.0,10.8644
16499,181221,500,66.2058,6.0,10.5142
16500,181221,600,58.3942,6.0,12.3208
16501,181221,700,55.9425,6.0,12.9383
16502,181221,800,51.0233,6.0,14.1233
16503,181221,900,47.1358,6.0,15.295
16504,181221,1000,43.6379,6.0,16.3385
16505,181221,1100,40.5779,6.0,17.5094
16506,181221,1200,38.2096,6.0,18.6977
16507,181221,1300,36.3378,6.0,19.7568
16508,181221,1400,35.1469,6.0,20.4943
16509,181221,1500,34.8925,6.0,20.6808
16510,181221,1600,34.4753,6.0,20.7406
16511,181221,1700,36.4753,6.0,19.9298
16512,181221,1800,37.5136,6.0,19.2322
16513,181221,1900,42.6544,6.0,17.5538
16514,181221,2000,49.9468,6.0,15.3069
16515,181221,2100,53.2876,6.0,14.3135
16516,181221,2200,57.48,6.0,13.3994
16517,181221,2300,59.3108,6.0,12.8994
16518,181222,0,61.799,8.0,12.3435
16519,181222,100,63.9207,8.0,12.0169
16520,181222,200,67.1254,8.0,11.5852
16521,181222,300,67.8978,8.0,11.4584
16522,181222,400,66.4084,8.0,11.5968
16523,181222,500,69.4834,8.0,11.0901
16524,181222,600,67.8015,8.0,11.6259
16525,181222,700,64.2123,8.0,12.1843
16526,181222,800,65.3888,8.0,12.2426
16527,181222,900,61.2835,8.0,13.0842
16528,181222,1000,62.2867,8.0,12.9583
16529,181222,1200,49.5928,8.0,14.802
16530,181222,1300,37.5478,8.0,16.6689
16531,181222,1400,35.3185,8.0,17.268
16532,181222,1500,35.7842,8.0,17.0088
16533,181222,1600,42.0109,8.0,15.1494
